ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
233,Apocalisse,Il Canto di Mosè e dell'Agnello sul Mare di Vetro,Apocalisse 15,20:00,"Ecco a voi in 2 minuti: la lode universale sulle acque trasparenti. Quelli che hanno vinto la prova stanno in piedi sul mare di cristallo mescolato a fuoco, tenendo in mano le arpe di Dio. Cantano all'unisono il canto di Mosè e il canto dell'Agnello: «Grandi e meravigliose sono le tue opere, o Signore Dio onnipotente; giuste e veritiere sono le tue vie, o Re delle genti! Chi non temerà, o Signore, e chi non glorificherà il tuo nome? Perché tutte le nazioni verranno e si prostreranno davanti a te.» La giustizia ricolma di gioia.",Pronto
234,Apocalisse,Il Banchetto delle Nozze dell'Agnello,Apocalisse 19,20:00,"Ecco a voi in 2 minuti: la festa nuziale dell'alleanza rinnovata. Una voce immensa risuona come fragore di grandi acque e potenti tuoni dicendo: «Alleluia! Il Signore nostro Dio, l'Onnipotente, ha preso possesso del suo regno. Rallegriamoci ed esultiamo, perché sono giunte le nozze dell'Agnello e la sua sposa si è preparata; le è stato dato di rivestirsi di lino finissimo, risplendente e puro.» Beati quelli che sono invitati al banchetto nuziale dell'Agnello! L'amore fedele giunge alla sua pienezza.",Pronto
235,Apocalisse,Il Cavaliere Fedele e Veritiero,Apocalisse 19,20:00,"Ecco a voi in 2 minuti: la maestà della parola che stabilisce la pace. Il cielo si apre ed ecco un cavallo bianco: colui che lo cavalca si chiama Fedele e Veritiero; egli giudica e combatte con giustizia. I suoi occhi sono come fiamma viva, sul suo capo ci sono molti diademi e il suo nome è: la Parola di Dio. Gli eserciti celesti lo seguono su cavalli bianchi, vestiti di lino candido. Sul mantello e sulla coscia porta scritto un nome regale: Re dei re e Signore dei signori. La verità trionfa con limpida autorità.",Pronto
236,Apocalisse,I Nuovi Cieli e la Nuova Terra,Apocalisse 21,20:00,"Ecco a voi in 2 minuti: la creazione rinnovata nella luce perenne. Giovanni contempla un cielo nuovo e una terra nuova, perché il primo cielo e la prima terra sono passati e il mare dell'inquietudine non c'è più. Una voce potente dal trono proclama: «Ecco la tenda di Dio con gli uomini! Egli abiterà con loro ed essi saranno suoi popoli; non ci sarà più la morte, né lutto, né lamento, né affanno, perché le cose di prima sono passate. Ecco, io faccio nuove tutte le cose!» La speranza giunge al porto sicuro.",Pronto
237,Apocalisse,La Nuova Gerusalemme che Scende dal Cielo,Apocalisse 21,20:00,"Ecco a voi in 2 minuti: la città splendente come pietra preziosissima. Giovanni vede la città santa, la nuova Gerusalemme, scendere dal cielo, risplendente della gloria divina. Il suo fulgore è simile a diaspro trasparente come cristallo; possiede dodici porte di perla e dodici basamenti ornati di pietre preziose recanti i nomi degli apostoli dell'Agnello. La piazza della città è d'oro puro, simile a vetro limpido. Non vi è alcun tempio, perché il Signore Dio Onnipotente e l'Agnello sono il suo tempio vivente.",Pronto
238,Apocalisse,«Non ci Sarà Più la Notte»,Apocalisse 21,20:00,"Ecco a voi in 2 minuti: la luce che non conosce tramonto. La città celeste non ha bisogno della luce del sole né della luna, perché la gloria stessa di Dio la illumina e la sua lampada è l'Agnello. Le nazioni cammineranno alla sua luce e i re della terra vi porteranno il loro splendore; le sue porte non saranno mai chiuse durante il giorno, perché lì non ci sarà più alcuna notte. Non entrerà nulla di impuro, ma solo coloro che sono scritti nel libro della vita. La luce divina dissipa per sempre ogni ombra.",Pronto
239,Apocalisse,Il Fiume d'Acqua Viva e l'Albero di Vita,Apocalisse 22,20:00,"Ecco a voi in 2 minuti: la sorgente di guarigione per tutte le genti. L'angelo mostra a Giovanni un fiume limpido di acqua viva, trasparente come cristallo, che sgorga dal trono di Dio e dell'Agnello. In mezzo alla piazza e sulle due rive del fiume si trova l'albero della vita, che dà dodici raccolti all'anno, portando frutto ogni mese; le foglie dell'albero servono per la guarigione delle nazioni. Non vi sarà più alcuna maledizione: i servi vedranno il suo volto e regneranno nei secoli dei secoli nella pace.",Pronto
240,Apocalisse,«Lo Spirito e la Sposa Dicono: Vieni!»,Apocalisse 22,20:00,"Ecco a voi in 2 minuti: l'invocazione finale dell'attesa fiduciosa. Gesù dichiara: «Ecco, io vengo presto e porto con me la ricompensa per dare a ciascuno secondo le sue opere. Io sono l'Alfa e l'Omega, il principio e la fine, la radice di Davide e la splendente stella del mattino!» Lo Spirito e la sposa dicono: «Vieni!» E chi ascolta dica: «Vieni!» Chi ha sete venga, e chi vuole prenda gratuitamente dell'acqua della vita. La grazia del Signore Gesù sia con tutti noi. Amen.",Pronto
241,Antico Testamento,Melchisedek Re di Salem e il Pane e Vino,Genesi 14,20:00,"Ecco a voi in 2 minuti: la benedizione regale di pace e giustizia. Dopo la liberazione del nipote Lot, Abramo viene accolto nella valle da Melchisedek, re di Salem e sacerdote del Dio Altissimo. Egli offre pane e vino e pronuncia una solenne benedizione: «Benedetto sia Abramo dal Dio Altissimo, creatore del cielo e della terra!» Abramo gli dona la decima di ogni cosa rifiutando i bottini terreni. La figura del re di giustizia e di pace prefigura l'offerta eterna che dona grazia e comunione a tutti gli uomini.",Pronto
242,Antico Testamento,Agar nel Deserto e il Pozzo del Vivente,Genesi 16,20:00,"Ecco a voi in 2 minuti: lo sguardo divino che consola chi si sente smarrito. In fuga nel deserto per i dissapori con Sara, la serva Agar si siede sfinita presso una sorgente sulla via di Sur. L'angelo del Signore la chiama per nome, la rassicura e le promette un futuro fecondo per il figlio Ismaele. Agar esclama con meraviglia: «Tu sei il Dio che mi vede!» e chiama quella sorgente il Pozzo del Vivente che mi vede. Nessun dolore vissuto nell'abbandono sfugge alla tenerezza di Dio.",Pronto
243,Antico Testamento,La Nascita di Isacco e il Sorriso di Sara,Genesi 21,20:00,"Ecco a voi in 2 minuti: la promessa adempiuta che reca gioia immensa. Nel tempo stabilito, quando ogni speranza umana sembrava svanita per l'età avanzata, Sara concepisce e dà alla luce un figlio ad Abramo, che viene chiamato Isacco, cioè «sorriso». Sara esclama colma di gratitudine: «Dio mi ha dato motivo di gioia: chiunque lo saprà riderà con me di stupore!» La fedeltà di Dio supera i limiti del tempo e sa trasformare l'attesa più lunga in un canto radioso di speranza ritrovata.",Pronto
244,Antico Testamento,Rebecca e la Preghiera al Pozzo di Carran,Genesi 24,20:00,"Ecco a voi in 2 minuti: la gentilezza premurosa che rivela il disegno divino. Il fidato servo di Abramo giunge ad Aram-Naaraim e prega presso il pozzo: «La fanciulla alla quale dirò: Abbassa la brocca affinché io beva, e mi risponderà: Bevi, e darò da bere anche ai tuoi cammelli, sia colei che hai destinata a Isacco.» Prima ancora che finisca di pregare, esce la giovane Rebecca, che attinge con sollecitudine per lui e per tutti i suoi cammelli. La bontà spontanea apre le porte alla benedizione.",Pronto
245,Antico Testamento,Il Patto di Pace tra Isacco e Abimelec,Genesi 26,20:00,"Ecco a voi in 2 minuti: la mitezza che trasforma i rivali in amici. Il re filisteo Abimelec si reca da Isacco a Bersabea per stringere un'alleanza: «Abbiamo visto chiaramente che l'Eterno è con te; facciamo dunque un patto reciproco.» Isacco prepara un grande banchetto per loro, mangiano e bevono insieme, e al mattino si scambiano giuramenti di pace partendo in concordia. Nello stesso giorno i servi trovano un nuovo pozzo d'acqua viva. Chi persegue la pace trova sempre abbondanza di vita.",Pronto
246,Antico Testamento,I Pozzi Riscavati da Isacco nella Valle,Genesi 26,20:00,"Ecco a voi in 2 minuti: la pazienza laboriosa che non risponde alle contese. Nella valle di Gerar Isacco riapre i pozzi d'acqua scavati da suo padre Abramo e ostruiti dai filistei. I pastori locali contendono per il primo pozzo ed egli si sposta; contendono per il secondo ed egli va oltre senza adirarsi. Scava un terzo pozzo per cui nessuno litiga e lo chiama Recobot: «Ora l'Eterno ci ha dato spazio perché possiamo prosperare!» La pazienza perseverante supera ogni attrito umano aprendo orizzonti vasti.",Pronto
247,Antico Testamento,La Benedizione dei Campi di Giacobbe,Genesi 27,20:00,"Ecco a voi in 2 minuti: l'eredità spirituale che profuma di terra benedetta. L'anziano Isacco, divenuto quasi cieco, fa avvicinare il figlio per benedirlo; sentendo il profumo delle sue vesti esclama con emozione: «Ecco, l'odore di mio figlio è come l'odore di un campo che l'Eterno ha benedetto! Ti conceda Dio rugiada del cielo e grassezza della terra, abbondanza di frumento e di mosto.» La benedizione dei padri custodisce la speranza delle generazioni future insegnando il valore sacro della terra e del lavoro.",Pronto
248,Antico Testamento,Giacobbe e Rachele al Pozzo di Carran,Genesi 29,20:00,"Ecco a voi in 2 minuti: l'amore paziente che supera ogni fatica. Giunto nella terra d'Oriente, Giacobbe vede un pozzo nei campi con una pesante pietra sulla bocca e pastori in attesa. Quando giunge Rachele con le pecore del padre Labano, Giacobbe si fa avanti con forza, rotola da solo la grande pietra dal pozzo e abbevera il gregge, poi piange di commozione. Per amore di Rachele lavorerà quattordici anni fedelmente, sembrandogli pochi giorni per l'affetto profondo. La dedizione pura vince il tempo.",Pronto
249,Antico Testamento,L'Abbraccio Fraterno tra Giacobbe ed Esaù,Genesi 33,20:00,"Ecco a voi in 2 minuti: la riconciliazione tra lacrime che cancella vent'anni di rancore. Dopo una lunga separazione e antiche contese, Giacobbe scorge il fratello Esaù che gli viene incontro con quattrocento uomini. Giacobbe avanza inchinandosi sette volte con rispetto; ma Esaù gli corre incontro a braccia aperte, gli si getta al collo, lo bacia e scoppiano entrambi in lacrime di gioia. Giacobbe esclama: «Ho visto il tuo volto come si vede il volto di Dio!» Il perdono fraterno risana ogni ferita antica.",Pronto
250,Antico Testamento,Il Ritorno a Betel e gli Altari Rinnovati,Genesi 35,20:00,"Ecco a voi in 2 minuti: il ritorno alle origini della promessa sacra. Dio dice a Giacobbe: «Àlzati, sali a Betel, abita là e costruisci un altare al Dio che ti apparve quando fuggivi da tuo fratello.» Giacobbe invita tutta la sua famiglia a purificarsi e a togliere ogni idolo straniero mettendosi in cammino. Giunti a Betel, edifica l'altare della memoria e Dio gli rinnova la promessa: «Io sono il Dio Onnipotente: sii fecondo e moltiplicati; la terra che diedi ad Abramo la darò a te.» La fedeltà rinnova l'alleanza.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
251,Antico Testamento,La Nascita dei Dodici Figli di Giacobbe,Genesi 29-30,20:00,"Ecco a voi in 2 minuti: le radici delle dodici tribù d'Israele. Nella terra di Padan-Aram, tra fatiche e speranze, la famiglia di Giacobbe cresce giorno dopo giorno. Da Lia, Rachele, Bila e Zilpa nascono dodici figli maschi e una figlia, Dina: Ruben, Simeone, Levi, Giuda, Dan, Neftali, Gad, Aser, Issacar, Zabulon, Giuseppe e infine Beniamino. Ognuno porta un nome che ricorda una preghiera o un ringraziamento. Da questa famiglia numerosa e provata nascerà il popolo dell'alleanza. Dio tesse la grande storia attraverso la vita quotidiana.",Pronto
252,Antico Testamento,La Partenza Segreta di Giacobbe da Labano,Genesi 31,20:00,"Ecco a voi in 2 minuti: il richiamo verso la terra promessa. Dopo vent'anni di servizio fedele, l'Eterno dice a Giacobbe: «Torna al paese dei tuoi padri e al tuo parentado, e io sarò con te!» Giacobbe raduna la famiglia, i greggi e parte verso il monte Galaad. Quando Labano lo insegue, Dio lo ammonisce in sogno di non fare alcun male a Giacobbe. I due si incontrano, stringono un patto di pace su un cumulo di pietre e si salutano con affetto. Chi segue la voce del Signore trova protezione in ogni passo del cammino.",Pronto
253,Antico Testamento,Gli Eserciti di Angeli a Maanaim,Genesi 32,20:00,"Ecco a voi in 2 minuti: la scorta celeste nei momenti di timore. Mentre Giacobbe prosegue il suo viaggio verso Canaan, gli si fanno incontro gli angeli di Dio. Vedendoli, Giacobbe esclama con meraviglia: «Questo è l'accampamento di Dio!» e chiama quel luogo Maanaim, cioè «i due accampamenti». Prima ancora di affrontare l'incontro temuto con il fratello Esaù, il Signore gli mostra la presenza invisibile e costante delle sue schiere a sua difesa. Chi cammina nella volontà di Dio è sempre circondato da una protezione più forte di ogni timore umano.",Pronto
254,Antico Testamento,La Morte di Isacco e la Sepoltura a Ebron,Genesi 35,20:00,"Ecco a voi in 2 minuti: il riposo del patriarca nella pace. Dopo aver rivisto il figlio Giacobbe tornato con la sua grande famiglia, l'anziano Isacco si spegne all'età di centottant'anni, sazio di giorni. I suoi due figli, Esaù e Giacobbe, riconciliati e uniti nell'affetto filiale, lo seppelliscono con onore nella caverna di Macpela a Ebron, accanto ad Abramo e Sara. La fine terrena dei giusti lascia un'eredità luminosa di pace, concordia e benedizione che passa intatta alle generazioni future.",Pronto
255,Antico Testamento,Giuseppe nella Casa di Potifar,Genesi 39,20:00,"Ecco a voi in 2 minuti: l'integrità morale che resiste a ogni lusinga. Condotto schiavo in Egitto, Giuseppe viene acquistato da Potifar, capitano delle guardie. L'Eterno è con Giuseppe e fa prosperare ogni cosa nelle sue mani, tanto che il padrone gli affida tutta la sua casa. Di fronte alle lusinghe e alle tentazioni della moglie di Potifar, Giuseppe fugge senza esitare: «Come potrei fare questo gran male e peccare contro Dio?» Anche a costo di una prigione ingiusta, la rettitudine custodisce la coscienza pura e invincibile.",Pronto
256,Antico Testamento,Giuseppe Interpreta i Sogni in Carcere,Genesi 40,20:00,"Ecco a voi in 2 minuti: la luce della verità nelle tenebre della prigione. Rinchiuso ingiustamente, Giuseppe guadagna la stima del carceriere per la sua dedizione. Il coppiere e il panettiere del faraone, incarcerati con lui, fanno sogni misteriosi nella stessa notte e sono tristi. Giuseppe dice loro: «Le interpretazioni non appartengono forse a Dio? Raccontatemi i vostri sogni.» Egli spiega con esattezza il futuro: il coppiere viene reintegrato e il panettiere condannato. Anche nel silenzio dell'attesa, la luce di Dio prepara la gloria.",Pronto
257,Antico Testamento,La Seconda Discesa dei Fratelli con Beniamino,Genesi 43,20:00,"Ecco a voi in 2 minuti: il sacrificio e la commozione a corte. La carestia stringe Canaan e Giacobbe è costretto ad acconsentire che i fratelli portino in Egitto il giovane Beniamino, garantito dalla parola di Giuda. Arrivati davanti al viceré, Giuseppe li accoglie nella sua casa, fa lavare loro i piedi e prepara un banchetto. Vedendo il fratello germano Beniamino, Giuseppe si commuove profondamente, entra nella sua camera e scoppia in lacrime di gioia. La provvidenza prepara con dolcezza il momento della rivelazione e della salvezza.",Pronto
